1 1:0.060000 2:-0.013571 3:0.003500
1 1:0.156000 2:0.002857 3:0.033500
0 1:0.002000 2:0.011429 3:0.009000
0 1:-0.214000 2:-0.090000 3:-0.106000
0 1:-0.010000 2:-0.003571 3:-0.002000
1 1:0.040000 2:0.005000 3:0.026500
1 1:0.010000 2:0.048571 3:-0.005500
1 1:-0.202000 2:-0.217857 3:-0.149000
1 1:0.126000 2:0.035000 3:0.022500
1 1:0.010000 2:0.005714 3:0.004000
0 1:-0.078000 2:-0.166429 3:-0.099000
1 1:0.060000 2:-0.004286 3:-0.005000
1 1:-0.012000 2:-0.040000 3:-0.024500
1 1:0.068000 2:0.014286 3:0.021500
1 1:-0.094000 2:-0.057857 3:-0.064000
0 1:0.022000 2:-0.052143 3:-0.005000
1 1:-0.006000 2:-0.072143 3:-0.070500
1 1:-0.052000 2:-0.050714 3:-0.028500
0 1:-0.014000 2:0.015714 3:0.018000
1 1:-0.008000 2:0.002857 3:0.012000
0 1:0.000000 2:0.039286 3:-0.003000
0 1:-0.016000 2:-0.021429 3:-0.005000
1 1:0.120000 2:0.074286 3:0.025500
1 1:0.002000 2:0.005714 3:0.006000
0 1:0.142000 2:0.000714 3:0.020000
1 1:-0.200000 2:0.011429 3:-0.005500
1 1:0.656000 2:0.202143 3:0.165500
1 1:0.010000 2:-0.040714 3:-0.057500
0 1:0.078000 2:-0.004286 3:-0.012000
0 1:0.006000 2:0.020000 3:0.041000
0 1:0.056000 2:0.062143 3:0.026000
0 1:0.122000 2:0.021429 3:0.080500
1 1:0.218000 2:-0.122857 3:-0.142000
0 1:-0.026000 2:-0.009286 3:-0.002000
0 1:-0.012000 2:-0.055714 3:-0.053000
0 1:0.024000 2:0.012143 3:0.026000
0 1:0.020000 2:-0.090714 3:-0.040000
0 1:-0.008000 2:0.023571 3:0.002500
1 1:0.016000 2:0.007857 3:0.007500
1 1:-0.002000 2:-0.009286 3:-0.003500
1 1:0.082000 2:0.018571 3:-0.048500
1 1:0.054000 2:0.055000 3:0.066000
1 1:0.024000 2:0.012857 3:0.010000
0 1:-0.012000 2:0.014286 3:0.006000
0 1:-0.006000 2:-0.004286 3:-0.001500
0 1:-0.118000 2:-0.042143 3:-0.029500
1 1:0.000000 2:-0.005000 3:-0.004000
0 1:-0.082000 2:-0.033571 3:0.016000
1 1:0.062000 2:0.018571 3:0.009000
1 1:0.070000 2:0.010714 3:-0.003500
1 1:-0.002000 2:-0.005000 3:-0.004500
0 1:0.008000 2:-0.082143 3:-0.032000
1 1:0.034000 2:0.057143 3:0.016000
1 1:-0.016000 2:0.007857 3:0.045000
0 1:-0.028000 2:-0.002143 3:0.003500
1 1:0.092000 2:0.047857 3:0.054500
1 1:0.006000 2:0.000000 3:0.003000
0 1:0.174000 2:0.135000 3:0.066500
1 1:0.020000 2:-0.002143 3:-0.006500
0 1:0.008000 2:-0.031429 3:-0.062000
1 1:-0.184000 2:-0.099286 3:-0.062500
1 1:-0.004000 2:0.044286 3:0.039500
0 1:-0.012000 2:-0.077857 3:-0.036500
0 1:0.110000 2:0.090714 3:0.058500
1 1:0.016000 2:0.010714 3:0.005000
1 1:0.028000 2:0.036429 3:0.021000
0 1:0.006000 2:-0.005000 3:-0.001000
1 1:-0.152000 2:0.040714 3:-0.066000
1 1:0.030000 2:0.015714 3:0.022500
0 1:-0.008000 2:-0.018571 3:-0.003500
0 1:0.180000 2:0.015000 3:0.002500
0 1:0.052000 2:0.014286 3:0.007500
1 1:-0.002000 2:-0.004286 3:-0.007000
0 1:0.208000 2:0.069286 3:0.067000
1 1:-0.012000 2:-0.007143 3:-0.005500
0 1:0.026000 2:0.001429 3:-0.027500
0 1:0.014000 2:0.007857 3:0.008500
1 1:0.134000 2:0.041429 3:0.003500
0 1:0.010000 2:0.010000 3:0.011000
1 1:0.054000 2:0.015714 3:0.006000
1 1:0.056000 2:0.033571 3:0.011500
0 1:0.152000 2:0.275000 3:0.149000
1 1:0.046000 2:-0.067143 3:0.006500
0 1:-0.142000 2:-0.011429 3:-0.004500
1 1:-0.026000 2:0.015000 3:0.002500
1 1:0.042000 2:0.027857 3:-0.051000
1 1:-0.016000 2:0.002143 3:-0.001500
0 1:-0.006000 2:0.002857 3:0.006000
1 1:-0.014000 2:-0.004286 3:-0.010000
1 1:0.086000 2:0.069286 3:0.047500
1 1:-0.002000 2:-0.027143 3:-0.004000
0 1:0.018000 2:-0.026429 3:-0.026500
0 1:0.012000 2:0.005000 3:-0.001000
0 1:0.022000 2:-0.000000 3:0.008500
0 1:-0.132000 2:0.022857 3:0.005500
1 1:0.002000 2:-0.002143 3:-0.005000
0 1:0.006000 2:-0.005000 3:0.005500
1 1:-0.008000 2:-0.005000 3:-0.001000
1 1:0.124000 2:0.040000 3:-0.006500
0 1:-0.090000 2:-0.096429 3:-0.088000
1 1:-0.140000 2:-0.050000 3:-0.035000
1 1:-0.064000 2:-0.031429 3:-0.018500
0 1:-0.078000 2:-0.017857 3:-0.001500
1 1:-0.114000 2:0.007143 3:0.018000
1 1:0.006000 2:-0.027857 3:-0.029500
1 1:0.002000 2:0.001429 3:-0.002000
0 1:-0.170000 2:-0.055714 3:-0.020500
1 1:0.092000 2:0.047143 3:0.036500
0 1:0.158000 2:0.199286 3:0.151500
1 1:-0.030000 2:-0.027857 3:-0.021500
1 1:-0.108000 2:-0.102143 3:-0.084000
1 1:0.042000 2:-0.022857 3:-0.032000
1 1:0.092000 2:0.042143 3:0.043000
0 1:-0.080000 2:-0.012143 3:0.002500
0 1:0.018000 2:-0.005000 3:-0.001500
0 1:-0.136000 2:-0.031429 3:-0.006500
0 1:0.192000 2:0.106429 3:0.094000
0 1:0.002000 2:-0.000714 3:-0.001000
0 1:0.094000 2:-0.062857 3:-0.027500
1 1:-0.394000 2:-0.142857 3:-0.075000
0 1:-0.102000 2:-0.057857 3:-0.008000
0 1:0.000000 2:0.032143 3:0.010500
0 1:0.066000 2:0.026429 3:0.037000
1 1:-0.118000 2:-0.082143 3:-0.059000
1 1:-0.020000 2:0.000714 3:-0.001000
0 1:-0.060000 2:-0.030714 3:-0.036500
1 1:-0.038000 2:-0.090714 3:-0.076000
1 1:-0.042000 2:-0.016429 3:-0.074500
0 1:-0.098000 2:-0.022857 3:-0.008500
0 1:-0.152000 2:-0.066429 3:-0.012500
1 1:-0.000000 2:-0.081429 3:-0.014500
0 1:0.000000 2:-0.005000 3:-0.003500
0 1:0.176000 2:0.028571 3:0.021000
0 1:-0.146000 2:-0.050714 3:-0.079500
0 1:0.004000 2:-0.016429 3:-0.024500
0 1:-0.180000 2:0.082857 3:0.097500
0 1:0.054000 2:0.038571 3:0.017500
0 1:-0.066000 2:-0.053571 3:-0.024000
0 1:-0.010000 2:-0.044286 3:-0.022500
0 1:0.104000 2:0.043571 3:0.076500
0 1:-0.026000 2:-0.067857 3:-0.067000
0 1:-0.030000 2:-0.055714 3:-0.070500
1 1:-0.016000 2:0.081429 3:0.007500
0 1:0.216000 2:0.007143 3:0.055000
1 1:-0.076000 2:-0.056429 3:-0.003500
