Date,Open,High,Low,Close,Volume
2012-02-06,6.0292,6.0936, 5.974,6.02,123127000
2012-02-03,5.9471,6.0668,5.9379,6.03,149273000
2012-02-02,5.8044,5.9792,5.7768,5.97,139284800
2012-02-01,5.8821,5.9373,5.7808,5.79, 96910600
2012-01-31,5.8824,5.9468,5.8548,5.91, 70546600
2012-01-30,6.0172,6.0264,5.8516,5.87,141160200
2012-01-27,  6.01,  6.01,  6.01,6.01,        0
2012-01-26,  6.01,  6.01,  6.01,6.01,        0
2012-01-25,  6.01,  6.01,  6.01,6.01,        0
2012-01-24,  6.01,  6.01,  6.01,6.01,        0
2012-01-23,  6.01,  6.01,  6.01,6.01,        0
2012-01-20,5.9824,6.0284,5.8904,6.01,166880700
2012-01-19,5.7821,5.9292,5.7361,5.92,166922000
2012-01-18, 5.806, 5.852,5.7416,5.76, 91847800
2012-01-17,5.6921,5.8392,5.5725,5.83,192902600
2012-01-16,5.6992,5.7729,5.6716,5.69, 75163200
2012-01-13,  5.73,5.8036,5.6656,5.73,134864400
2012-01-12,5.6656,5.7944,5.6564,5.73,135617700
2012-01-11, 5.726,5.7536,5.6708,5.68, 93949800
2012-01-10,5.6932,5.7392, 5.638,5.73,178081900
2012-01-09,5.5335,5.7084,5.5151,5.69,186985400
2012-01-06,5.4948,5.5776,5.4672,5.55,103442700
2012-01-05,5.3888,5.5728,5.3796,5.49,164240600
2012-01-04,5.4728, 5.482,5.3808,5.39, 70526800
2012-01-03, 5.374,5.4384,5.3648,5.42, 73356300
2012-01-02, 5.374,5.4384,5.3648,5.42, 73356300
2011-12-30, 5.374,5.4384,5.3648,5.42, 73356300
2011-12-29,5.3316,5.3868,5.3132,5.35, 61422500
2011-12-28,5.3868,5.4052,5.2857,5.35,115513300
2011-12-27,   5.4,5.4552,5.3632, 5.4, 58045300
2011-12-26,5.4936,5.5028,5.4016,5.42, 98854900
2011-12-23,  5.52,5.5936, 5.474,5.52, 75027700
2011-12-22,5.5124,5.5676,5.4296,5.54, 87580500
2011-12-21,5.5828,5.6104,   5.5, 5.5, 88129000
2011-12-20,5.5484,5.6312,5.5208,5.53, 79957400
2011-12-19,5.4119,  5.55,5.3843,5.55,119549900
2011-12-16,5.3497,5.4968,5.3313,5.46, 92197900
2011-12-15,5.4052,5.4603,5.3408,5.35, 93541600
2011-12-14,  5.44, 5.486,5.4032,5.44, 87230500
2011-12-13,5.5337,5.5797,5.4508,5.46, 87596400
2011-12-12,  5.55,5.5776, 5.504,5.55, 52205600
2011-12-09, 5.616,5.6529,5.5424,5.57, 60971700
2011-12-08,5.6308,5.6676,5.5848,5.64, 69269800
2011-12-07,5.5748,5.6576,5.5564,5.63,100572800
2011-12-06,5.5516,5.6068, 5.524,5.57, 63700500
2011-12-05,  5.57,5.6344, 5.524,5.57,124326500
2011-12-02,5.4856,5.5868,5.4672,5.55,109561000
2011-12-01,5.5368,5.6196,5.4724, 5.5,265555600
