symbol,percent,error
600496,0.021462,0.007565
600497,0.083816,0.020385
600498,0.000000,0.012383
600499,0.014862,0.024538
600500,0.001754,0.055961
600501,0.000475,0.012008
600502,0.000000,0.014077
600503,0.015195,0.012569
600505,0.065574,0.020585
600506,0.000000,0.022440
600507,0.041077,0.013454
600508,0.043218,0.025748
600509,0.002835,0.012072
600510,0.000000,0.015758
600511,0.000000,0.020156
600512,0.000000,0.010541
600513,0.000000,0.026015
600515,0.000000,0.015389
600516,0.019340,0.056092
600517,0.000000,0.017648
600518,0.021710,0.009809
600519,0.000000,0.009507
600520,0.000000,0.031602
600521,0.000000,0.018733
600522,0.000000,0.045584
600523,0.000000,0.022551
600525,0.000000,0.010838
600526,0.000000,0.016814
600527,0.006425,0.019211
600528,0.000000,0.058094
600529,0.000000,0.020170
600530,0.000000,0.013641
600531,0.048879,0.024421
600532,-0.000358,0.018719
600533,0.000000,0.031473
600535,0.000000,0.015289
600536,0.066261,0.028262
600537,-0.002907,0.018922
600538,0.000000,0.008195
600539,0.000000,0.018000
600540,0.041574,0.019872
600543,0.000000,0.021210
600545,0.007931,0.022005
600546,0.026685,0.026449
600547,0.036589,0.015272
600548,0.018562,0.031558
600549,0.031251,0.015245
600550,0.000000,0.064831
600551,0.038112,0.019481
600552,0.003384,0.011624
600553,NaN
600555,0.000000,0.015502
600557,0.000000,0.023912
600558,0.000000,0.043424
600559,0.000000,0.013677
600560,-0.002436,0.020317
600561,0.022125,0.023604
600562,0.000000,0.015640
600563,0.006898,0.018587
600565,0.000000,0.043797
600566,0.000000,0.077441
600567,0.038143,0.034716
600568,0.000000,0.021633
600569,0.000000,0.023655
600570,-0.001081,0.030260
600571,0.000000,0.011292
600572,0.038473,0.023594
600573,0.000000,0.022136
600575,0.000000,0.019407
600576,0.000000,0.051363
600577,-0.005382,0.025860
600578,0.000000,0.025740
600579,0.000000,0.010271
600580,0.035490,0.010147
600581,0.012535,0.050485
600582,-0.000353,0.029481
600583,0.032454,0.042346
600584,0.001524,0.016263
600585,0.015533,0.013964
600586,0.000000,0.011819
600587,0.000000,0.021653
600588,0.000000,0.016388
600589,-0.000561,0.013523
600590,0.000000,0.013242
600592,0.000000,0.014955
600593,0.006256,0.022313
600594,-0.000297,0.016176
600595,0.023046,0.022411
600596,0.000000,0.012521
600597,0.000000,0.019123
600598,0.000000,0.033446
600599,0.068455,0.030525
600600,0.000000,0.018025
600601,0.000000,0.034188
600602,0.000000,0.032665
600603,0.000000,0.016960
600604,-0.015252,0.019072
600605,-0.001218,0.010957
600606,0.000000,0.025235
600608,0.014330,0.033415
600609,0.002403,0.054784
600610,0.018571,0.015617
600611,0.000000,0.036932
600612,0.000000,0.033649
600613,0.000000,0.019428
600614,0.035040,0.017576
600615,0.056116,0.023696
600616,0.000000,0.037880
600617,0.000000,0.015798
600618,0.013391,0.022972
600619,-0.000032,0.019508
